Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2020-12-24,113.04000091552734,113.22000122070312,112.16000366210938,113.02999877929688,107.50080871582033,138800.0,ALLE
2020-12-24,132.5500030517578,132.85000610351562,131.85000610351562,132.6199951171875,123.92351531982422,86700.0,AIZ
2021-10-11,162.5500030517578,163.7899932861328,161.1699981689453,161.25,152.71571350097656,152900.0,AIZ
2020-07-07,1137.300048828125,1145.2099609375,1127.449951171875,1128.5799560546875,1128.5799560546875,138600.0,AZO
2020-07-09,1116.3199462890625,1116.3199462890625,1095.0,1107.760009765625,1107.760009765625,118500.0,AZO
2020-07-17,1156.8499755859375,1158.68994140625,1136.1199951171875,1157.300048828125,1157.300048828125,139100.0,AZO
2020-07-20,1157.3800048828125,1163.800048828125,1145.3699951171875,1156.1199951171875,1156.1199951171875,113700.0,AZO
2020-07-21,1153.739990234375,1164.1700439453125,1146.1199951171875,1155.77001953125,1155.77001953125,143600.0,AZO
2020-07-24,1168.2900390625,1178.550048828125,1162.050048828125,1168.5899658203125,1168.5899658203125,135700.0,AZO
2020-07-28,1171.0799560546875,1180.0,1164.77001953125,1166.1500244140625,1166.1500244140625,142100.0,AZO
2020-08-04,1203.72998046875,1224.949951171875,1191.719970703125,1206.0400390625,1206.0400390625,132900.0,AZO
2020-08-10,1185.260009765625,1186.8800048828125,1169.1400146484375,1174.719970703125,1174.719970703125,128600.0,AZO
2020-08-13,1183.3599853515625,1190.9200439453125,1177.31005859375,1187.1400146484375,1187.1400146484375,103900.0,AZO
2020-08-14,1190.0699462890625,1207.1800537109375,1190.0,1196.050048828125,1196.050048828125,124100.0,AZO
2020-08-19,1213.5699462890625,1221.47998046875,1200.3599853515625,1210.0,1210.0,131500.0,AZO
2020-08-20,1204.8599853515625,1213.22998046875,1196.3299560546875,1203.5,1203.5,120500.0,AZO
2020-08-21,1206.0699462890625,1211.31005859375,1200.93994140625,1209.0699462890625,1209.0699462890625,143400.0,AZO
2020-08-24,1211.6099853515625,1219.1300048828125,1201.449951171875,1209.9300537109375,1209.9300537109375,143000.0,AZO
2020-08-25,1209.9300537109375,1213.97998046875,1188.43994140625,1201.6600341796875,1201.6600341796875,132600.0,AZO
2020-08-26,1198.4300537109375,1208.47998046875,1188.699951171875,1198.010009765625,1198.010009765625,152800.0,AZO
2020-08-27,1203.1700439453125,1204.4599609375,1193.800048828125,1195.8900146484375,1195.8900146484375,136000.0,AZO
2020-08-28,1193.1099853515625,1199.7099609375,1178.7900390625,1189.1199951171875,1189.1199951171875,152600.0,AZO
2020-09-11,1222.6600341796875,1240.8900146484375,1216.719970703125,1234.449951171875,1234.449951171875,150500.0,AZO
2020-09-15,1247.72998046875,1251.31005859375,1239.9000244140625,1242.949951171875,1242.949951171875,110900.0,AZO
2020-10-02,1169.81005859375,1183.760009765625,1158.8599853515625,1176.989990234375,1176.989990234375,137300.0,AZO
2020-10-08,1146.1099853515625,1157.47998046875,1145.9200439453125,1150.0,1150.0,150800.0,AZO
2020-10-13,1142.2099609375,1170.989990234375,1142.2099609375,1164.5899658203125,1164.5899658203125,150000.0,AZO
2020-10-21,1179.77001953125,1192.4599609375,1174.550048828125,1178.1199951171875,1178.1199951171875,149800.0,AZO
2020-10-22,1176.469970703125,1185.0,1168.0,1175.550048828125,1175.550048828125,151400.0,AZO
2020-10-23,1180.510009765625,1187.0999755859375,1161.4599609375,1183.1600341796875,1183.1600341796875,148900.0,AZO
2020-10-26,1168.75,1169.449951171875,1141.7900390625,1152.0,1152.0,148800.0,AZO
2020-11-27,1127.5400390625,1141.3399658203125,1118.280029296875,1119.239990234375,1119.239990234375,109700.0,AZO
2020-12-24,1195.93994140625,1208.010009765625,1187.1300048828125,1204.219970703125,1204.219970703125,82300.0,AZO
2020-12-30,1177.6099853515625,1188.31005859375,1175.2900390625,1175.8699951171875,1175.8699951171875,146100.0,AZO
2021-04-05,1425.0,1431.9300537109375,1413.06005859375,1415.8800048828125,1415.8800048828125,148700.0,AZO
2021-04-08,1421.219970703125,1423.3199462890625,1408.1199951171875,1417.1500244140625,1417.1500244140625,137900.0,AZO
2021-04-13,1454.9100341796875,1454.9100341796875,1430.5,1435.9100341796875,1435.9100341796875,147800.0,AZO
2021-04-15,1451.010009765625,1470.9300537109375,1450.719970703125,1467.43994140625,1467.43994140625,108100.0,AZO
2021-04-19,1495.739990234375,1516.5899658203125,1494.199951171875,1504.300048828125,1504.300048828125,149900.0,AZO
2021-05-03,1475.5999755859375,1488.239990234375,1467.4599609375,1475.8299560546875,1475.8299560546875,141000.0,AZO
2021-05-14,1538.0899658203125,1539.449951171875,1501.699951171875,1527.5799560546875,1527.5799560546875,139000.0,AZO
2021-05-17,1529.4100341796875,1540.27001953125,1523.3399658203125,1531.8900146484375,1531.8900146484375,138600.0,AZO
2021-05-20,1466.800048828125,1488.6400146484375,1466.6199951171875,1471.77001953125,1471.77001953125,139900.0,AZO
2021-06-09,1393.18994140625,1394.800048828125,1381.469970703125,1386.8499755859375,1386.8499755859375,134100.0,AZO
